"","saledate","neigh","saleprice","landval","imprval","totalval","mbmancls","mbyrblt","mbeffyr","heattype","baseste","garagefl","carptfl","mktrcnld","linmcls","mbmclsdv","bedrooms","baths","familyrm","fireplcs","flrarea1","flrarea2","bsmtfin","mbmktval","mb_rcn","cp_mancl","cp_area","cpmktval","cp_rcn","gr_mancl","gar_area","gar_type","grmktval","gr_rcn","ob1mktval","lcs_val","width","depth","lot_size","conduit","alley","sidewalk","culdesac","corner","wooded","pie_shpe","slope","abv_road","splitlvl","crwlarea","bsmtarea","unfinbmt","area1_2","totarea","linmcdv","random","month"
"181",150417,737,135721.27191,54973.952,70954.752,125928.704,90,1994,1994,2,0,0,0,85245.0242735,0.945,2,3,1.75,0,0,975,0,251,85245.473527375,116774.91913185,0,0,0,0,0,0,0,0,0,0,43721.43,65,105.1,6834,1,0,0,1,0,0,0,0,0,0,0,960,709,975,1226,0.9639,0.474715,4
"182",300617,737,137317.992756,50499.328,100679.04,151178.368,140,1991,1991,2,0,1,0,129705.665544,1,0,3,1.5,0,1,1209,0,0,123155.48755419,172136.9848653,0,0,0,0,920,312,1,6549.8163003,9962.6423715,0,40161.93,57.4,96,5510,1,0,0,0,1,0,0,0,0,0,0,1209,1209,1209,1209,1,0.4760506,6
"183",10517,736,138588.38573475,51421.26,85601.274,137022.534,90,1994,1994,2,0,0,0,103283.4658625,0.945,2,2,1.5,1,0,904,0,550,103284.058877615,132415.9623423,0,0,0,0,0,0,0,0,0,0,41394.56,59.7,150,8952,1,1,0,0,0,0,0,0,0,0,0,874,324,904,1454,0.9639,0.476962,5
"184",300417,737,174042.572214,51777.792,124810.048,176587.84,140,1999,1999,2,0,0,1,159712.569471,1,3,3,2.25,1,2,1144,0,934,151881.8012166,184299.4609092,921,370,7831.3393431,10283.0231322,0,0,0,0,0,0,48283.93,55.5,116.9,6491,1,0,0,0,0,0,0,0,0,0,0,1144,210,1144,2078,1.03,0.4809802,4
"185",80717,716,146858.935062,53596.576,76499.764,130096.34,140,1999,1999,2,0,0,1,101865.091419,1,-2,3,1.5,0,0,936,0,0,96971.20391322,117804.177036,921,286,4893.0879816,6424.747875,0,0,0,0,0,0,47149.11,61.5,114,7011,1,0,0,0,0,0,0,1,1,0,0,936,936,936,936,0.98,0.4822312,7
"186",260517,715,165980.248686,52271.285,103683.316,155954.601,140,1989,1989,6,0,0,1,134540.883204,1,-1,3,2.25,1,1,1198,0,1042,130296.1712598,176666.8604337,921,264,4245.4733958,6119.7865092,0,0,0,0,0,0,50939.93,65,119,7735,1,0,0,0,0,1,0,0,0,0,0,1198,156,1198,2240,0.99,0.4837265,5
"187",260317,715,128001.717207,43965.163,84350.101,128315.264,90,1989,1989,2,0,0,1,112981.958516,0.945,1,3,1.5,1,2,1152,0,668,110310.11993029,143517.2052951,911,364,2671.8026454,3659.98146885,0,0,0,0,0,0,45171.22,62.5,120,7500,0,1,0,0,0,0,0,0,0,1,0,1152,484,1152,1820,0.95445,0.4852386,3
"188",310317,716,142121.55006,56245.244,77122.98,133368.224,90,1997,1997,2,0,1,0,97186.192271,0.945,4,2,1,0,1,1012,0,0,94178.257876325,120755.1287628,0,0,0,0,920,0,3,3008.203947,4091.8042935,0,45940.33,60,120,7200,1,0,0,0,0,0,0,0,1,0,0,968,968,1012,1012,0.9828,0.4891348,3
"189",170317,736,172667.496981,51118.782,115849.074,166967.856,140,1996,1996,2,0,0,1,142758.849597,1,0,3,1.5,1,1,1233,0,800,137158.14464352,173771.4407247,921,280,4649.8041954,6303.1059819,0,0,0,0,0,951.8145,46517.25,64,110,7040,1,0,0,1,0,0,0,1,1,0,0,1233,433,1233,2033,1,0.4960659,3
"190",61017,713,78515.08819,45631.872,39196.608,84828.48,80,1977,1977,2,0,1,0,56640.451385,0.783,-5,2,1,0,0,718,0,0,51770.22403525,64197.06456555,0,0,0,0,910,216,2,4870.93690755,6855.3926847,0,41131.27,50,120,6000,0,1,0,0,0,0,0,0,0,0,718,0,0,718,718,0.74385,0.4967357,10
